Index,runtime,2-norm
0,1.09011,5.78911
1,1.21368,5.4715
2,1.17444,10.8233
3,1.07452,4.82801
4,1.07942,7.17453
5,1.07312,4.98138
6,1.0692,5.36002
7,1.05912,3.46139
8,1.08095,3.97597
9,1.07743,3.94695
10,1.58745,20.2014
11,1.57462,21.6167
12,1.56458,20.6577
13,1.63352,10.3066
14,1.98658,8.63093
15,1.94688,15.6624
16,1.91268,11.1658
17,1.86452,17.4445
18,1.83808,23.1263
19,1.90068,8.78543
